id_client;nationalite;flag_est_parrain;flag_est_filleul;date_debut_premier_sejour;date_fin_premier_sejour;type_destination_premier_sejour;gamme_premier_sejour;pays_premier_sejour;saison_premier_sejour;canal_reservation_premier_sejour;nb_adultes_premier_sejour;nb_enfants_premier_sejour;date_debut_dernier_sejour;date_fin_dernier_sejour;type_destination_dernier_sejour;gamme_dernier_sejour;pays_dernier_sejour;saison_dernier_sejour;canal_reservation_dernier_sejour;nb_adultes_dernier_sejour;nb_enfants_dernier_sejour;nb_sejours_2021;nb_sejours_2022;nb_sejours_2023;mt_sejours_2021;mt_sejours_2022;mt_sejours_2023;duree_sejours_2021;duree_sejours_2022;duree_sejours_2023;nb_participants_sejours_2021;nb_participants_sejours_2022;nb_participants_sejours_2023;mt_extras_sejours_2021;mt_extras_sejours_2022;mt_extras_sejours_2023;nb_residences_distinctes;duree_sejour_moyen;liste_extras
ID_10010432679146;France;0;0;09/06/2021;12/06/2021;Montagne;3;France;Hiver;Agence;1;;09/06/2021;12/06/2021;Montagne;3;France;Hiver;Agence;1;;1;0;0;638;0;0;3;0;0;1;0;0;0;0;0;1;3;
ID_10023432976621;France;0;0;10/03/2023;17/03/2023;Montagne;3;Switzerland;Hiver;Agence;2;;10/03/2023;17/03/2023;Montagne;3;Switzerland;Hiver;Agence;2;;0;0;1;0;0;2463;0;0;7;0;0;2;0;0;49;1;7;Services
ID_10025932843272;France;0;0;15/10/2021;22/10/2021;Soleil;3;Turkey;Eté;Agence;1;;15/10/2021;22/10/2021;Soleil;3;Turkey;Eté;Agence;1;;1;0;0;2010;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_10027532378131;France;0;0;08/03/2022;15/03/2022;Soleil;4;Morocco;Hiver;Agence;2;;08/03/2022;15/03/2022;Soleil;4;Morocco;Hiver;Agence;2;;0;1;0;0;1672;0;0;7;0;0;2;0;0;0;0;1;7;
ID_10034032421382;France;0;0;24/12/2022;31/12/2022;Soleil;4;Portugal;Eté;Web;1;1;24/12/2022;31/12/2022;Soleil;4;Portugal;Eté;Web;1;1;0;1;0;0;2352;0;0;7;0;0;2;0;0;310;0;1;7;Bien-être|Boutique|Services
ID_10038932751260;France;0;0;06/04/2022;09/04/2022;Montagne;3;France;Hiver;Agence;1;;06/04/2022;09/04/2022;Montagne;3;France;Hiver;Agence;1;;0;1;0;0;843;0;0;3;0;0;1;0;0;8;0;1;3;Sports
ID_10044932842466;France;0;0;01/10/2021;15/10/2021;Montagne;4;Italy;Eté;Agence;2;1;01/10/2021;15/10/2021;Montagne;4;Italy;Eté;Agence;2;1;1;0;0;6052;0;0;14;0;0;3;0;0;86;0;0;1;14;Boutique|Excursion
ID_10046932569360;France;0;0;18/12/2023;28/12/2023;Soleil;4;Mexico;Eté;Indirect;1;;18/12/2023;28/12/2023;Soleil;4;Mexico;Eté;Indirect;1;;0;0;1;0;0;3709;0;0;10;0;0;1;0;0;2434;1;10;Boutique|Restauration|Excursion|Bien-être|Restauration
ID_10059632554560;France;0;0;01/03/2023;03/03/2023;Soleil;4;Martinique;Hiver;Indirect;3;;01/03/2023;03/03/2023;Soleil;4;Martinique;Hiver;Indirect;3;;0;0;1;0;0;1917;0;0;2;0;0;3;0;0;0;1;2;
ID_10060232382283;France;0;0;01/05/2022;08/05/2022;Montagne;4;Switzerland;Hiver;Indirect;1;;01/05/2022;08/05/2022;Montagne;4;Switzerland;Hiver;Indirect;1;;0;1;0;0;1268;0;0;7;0;0;1;0;0;364;0;1;7;Restauration|Services|Sports|Boutique|Excursion
ID_10063132436888;France;0;0;13/07/2023;16/07/2023;Soleil;4;France;Eté;Agence;2;;13/07/2023;16/07/2023;Soleil;4;France;Eté;Agence;2;;0;0;1;0;0;1354;0;0;3;0;0;2;0;0;71;1;3;Excursion|Sports|Restauration
ID_10065932196622;France;0;0;31/03/2023;07/04/2023;Montagne;3;France;Hiver;Web;1;;31/03/2023;07/04/2023;Montagne;3;France;Hiver;Web;1;;0;0;1;0;0;1671;0;0;7;0;0;1;0;0;30;1;7;Sports
ID_10068032497419;France;0;0;11/07/2022;18/07/2022;Soleil;3;Tunisia;Eté;Agence;2;2;14/04/2023;24/04/2023;Soleil;4;Senegal;Hiver;Agence;1;;0;1;1;0;310;2723;0;7;10;0;1;1;0;0;0;2;9;
ID_10077232141612;France;0;0;01/07/2023;07/07/2023;Soleil;4;China;Eté;Indirect;2;1;01/07/2023;07/07/2023;Soleil;4;China;Eté;Indirect;2;1;0;0;1;0;0;3043;0;0;6;0;0;3;0;0;0;1;6;
ID_10081632366746;France;0;0;30/09/2023;07/10/2023;Soleil;4;Morocco;Eté;Indirect;2;2;30/09/2023;07/10/2023;Soleil;4;Morocco;Eté;Indirect;2;2;0;0;1;0;0;5833;0;0;7;0;0;4;0;0;191;1;7;Sports|Boutique
ID_10084732832227;France;0;0;17/01/2023;27/01/2023;Soleil;4;Mauritius Islands;Hiver;;1;;17/01/2023;27/01/2023;Soleil;4;Mauritius Islands;Hiver;Indirect;1;;0;0;1;0;0;3967;0;0;10;0;0;1;0;0;0;1;;
ID_10085132133949;France;0;0;09/07/2022;16/07/2022;Soleil;3;Tunisia;Eté;Agence;2;1;09/07/2022;16/07/2022;Soleil;3;Tunisia;Eté;Agence;2;1;0;1;0;0;2631;0;0;7;0;0;3;0;0;249;0;1;7;Boutique|Excursion|Bien-être
ID_10091032209123;France;0;0;20/06/2021;22/06/2021;Soleil;3;France;Hiver;Agence;1;;20/06/2021;22/06/2021;Soleil;3;France;Hiver;Agence;1;;1;0;0;252;0;0;2;0;0;1;0;0;0;0;0;1;2;
ID_10095732934637;France;0;0;14/07/2022;20/07/2022;Soleil;3;Turkey;Eté;Agence;1;;14/07/2022;20/07/2022;Soleil;3;Turkey;Eté;Agence;1;;0;1;0;0;705;0;0;6;0;0;1;0;0;0;0;1;6;
ID_10099432465834;France;0;0;01/04/2022;08/04/2022;Montagne;3;France;Hiver;Web;2;2;01/04/2022;08/04/2022;Montagne;3;France;Hiver;Web;2;2;0;1;0;0;4819;0;0;7;0;0;4;0;0;56;0;1;7;Sports
ID_10107332381306;France;1;0;30/10/2021;04/11/2021;Soleil;3;Morocco;Eté;Web;1;;30/10/2021;04/11/2021;Soleil;3;Morocco;Eté;Web;1;;1;0;0;939;0;0;5;0;0;1;0;0;0;0;0;1;5;
ID_10110632229260;France;0;1;11/08/2023;18/08/2023;Soleil;4;Greece;Eté;Indirect;1;;11/08/2023;18/08/2023;Soleil;4;Greece;Eté;Indirect;1;;0;0;1;0;0;1819;0;0;7;0;0;1;0;0;0;1;7;
ID_10114932428381;France;0;0;30/10/2021;08/11/2021;Soleil;3;Italy;Eté;Web;2;;30/10/2021;08/11/2021;Soleil;3;Italy;Eté;Web;2;;1;0;0;2562;0;0;9;0;0;2;0;0;18;0;0;1;9;Excursion
ID_10122432687560;France;0;1;21/04/2023;28/04/2023;Montagne;3;France;Hiver;Agence;2;;21/04/2023;28/04/2023;Montagne;3;France;Hiver;Agence;2;;0;0;1;0;0;3931;0;0;7;0;0;2;0;0;75;1;7;Boutique|Sports
ID_10125932151828;France;0;1;12/11/2022;19/11/2022;Soleil;3;Turkey;Eté;Agence;1;;12/11/2022;19/11/2022;Soleil;3;Turkey;Eté;Agence;1;;0;1;0;0;970;0;0;7;0;0;1;0;0;0;0;1;7;
ID_10131232328660;France;0;0;02/09/2021;06/09/2021;Soleil;3;France;Eté;Agence;1;1;02/09/2021;06/09/2021;Soleil;3;France;Eté;Agence;1;1;1;0;0;1131;0;0;4;0;0;2;0;0;0;0;0;1;4;
ID_10133132802269;France;0;0;08/10/2022;16/10/2022;Soleil;3;Turkey;Eté;;1;;08/10/2022;16/10/2022;Soleil;3;Turkey;Eté;Web;1;;0;1;0;0;2313;0;0;8;0;0;1;0;0;0;0;1;8;
ID_10136232633112;France;0;0;26/11/2021;04/12/2021;Soleil;4;Portugal;Eté;Agence;1;;26/11/2021;04/12/2021;Soleil;4;Portugal;Eté;Agence;1;;1;0;0;1225;0;0;8;0;0;1;0;0;304;0;0;1;8;Boutique|Bien-être|Services
ID_10138632905773;France;0;0;21/05/2022;29/05/2022;Soleil;4;Dominican Republic;Hiver;Agence;1;;21/05/2022;29/05/2022;Soleil;4;Dominican Republic;Hiver;Agence;1;;0;1;0;0;2053;0;0;7;0;0;1;0;0;0;0;1;7;
ID_10143232764779;France;0;0;16/09/2023;30/09/2023;Soleil;3;Italy;Eté;Agence;1;2;16/09/2023;30/09/2023;Soleil;3;Italy;Eté;Agence;1;2;0;0;1;0;0;4210;0;0;14;0;0;3;0;0;15;1;14;Boutique|Excursion
ID_10146332542854;France;0;0;24/03/2023;27/03/2023;Montagne;3;France;Hiver;Agence;5;;24/03/2023;27/03/2023;Montagne;3;France;Hiver;Agence;5;;0;0;1;0;0;3004;0;0;3;0;0;5;0;0;2;1;3;Boutique
ID_10149632442150;France;0;0;24/02/2023;27/02/2023;Soleil;4;France;Hiver;Web;3;;24/02/2023;27/02/2023;Soleil;4;France;Hiver;Web;3;;0;0;1;0;0;914;0;0;3;0;0;2;0;0;78;1;3;Boutique|Sports
ID_10149932375560;France;0;0;17/02/2023;25/02/2023;Soleil;4;Dominican Republic;Hiver;Indirect;1;1;17/02/2023;25/02/2023;Soleil;4;Dominican Republic;Hiver;Indirect;1;1;0;0;1;0;0;3633;0;0;8;0;0;2;0;0;0;1;8;
ID_10153332755566;France;0;0;30/07/2022;06/08/2022;Soleil;4;Greece;Eté;Indirect;1;;22/03/2023;30/03/2023;Soleil;5;Croisieres;Hiver;Agence;1;;0;1;1;0;1630;3909;0;7;7;0;1;1;0;396;1394;2;7;Services|Boutique
ID_10155532652268;France;0;0;23/10/2022;29/10/2022;Soleil;3;France;Eté;Web;2;2;23/10/2022;29/10/2022;Soleil;3;France;Eté;Web;2;2;0;1;0;0;2871;0;0;6;0;0;4;0;0;607;0;1;6;Excursion|Boutique
ID_10156632374795;France;0;0;08/01/2023;18/01/2023;Soleil;4;Dominican Republic;Hiver;Agence;2;;08/01/2023;18/01/2023;Soleil;4;Dominican Republic;Hiver;Agence;2;;0;0;1;0;0;3666;0;0;10;0;0;2;0;0;0;1;10;
ID_10169732383006;France;0;0;21/04/2023;28/04/2023;Montagne;4;France;Hiver;Agence;;1;21/04/2023;28/04/2023;Montagne;4;France;Hiver;Agence;;1;0;0;1;0;0;1907;0;0;7;0;0;1;0;0;0;1;7;
ID_10170332631249;France;0;0;11/03/2021;18/03/2021;Montagne;4;Switzerland;Hiver;Web;2;;11/03/2021;18/03/2021;Montagne;4;Switzerland;Hiver;Web;2;;1;0;0;2087;0;0;7;0;0;2;0;0;91;0;0;1;7;Excursion|Boutique
ID_10174432208717;France;0;0;17/05/2022;26/05/2022;Soleil;4;Martinique;Hiver;Agence;2;;17/05/2022;26/05/2022;Soleil;4;Martinique;Hiver;Agence;2;;0;1;0;0;4139;0;0;9;0;0;2;0;0;798;0;1;9;Boutique|Services
ID_10188532224539;France;0;0;02/10/2022;05/10/2022;Montagne;4;France;Eté;Agence;1;;20/02/2023;27/02/2023;Montagne;3;France;Hiver;Agence;1;2;0;1;1;0;590;4201;0;3;7;0;1;3;0;0;108;2;;Boutique
ID_10188632217899;France;0;0;23/10/2022;30/10/2022;Soleil;3;France;Eté;Agence;1;1;23/10/2022;30/10/2022;Soleil;3;France;Eté;Agence;1;1;0;1;0;0;1414;0;0;7;0;0;2;0;0;0;0;1;7;
ID_10194832514615;France;0;0;21/08/2022;28/08/2022;Montagne;4;Switzerland;Eté;Web;2;1;18/08/2023;25/08/2023;Montagne;4;Italy;Eté;Web;2;1;0;1;1;0;2244;2285;0;7;7;0;3;3;0;9;42;2;7;Excursion|Bien-être
ID_10196632538643;France;0;0;26/10/2022;05/11/2022;Soleil;4;Dominican Republic;Eté;Web;2;;26/10/2022;05/11/2022;Soleil;4;Dominican Republic;Eté;Web;2;;0;1;0;0;3719;0;0;10;0;0;2;0;0;;0;1;10;Boutique|Services|Bien-être|Excursion
ID_10201232997270;France;0;1;20/06/2022;27/06/2022;Soleil;3;France;Hiver;Agence;2;3;20/06/2022;27/06/2022;Soleil;3;France;Hiver;Agence;2;3;0;1;0;0;2722;0;0;7;0;0;5;0;0;170;0;1;7;Excursion|Boutique
ID_10203332618923;France;0;0;05/02/2023;12/02/2023;Soleil;4;Mexico;Hiver;Agence;2;;07/10/2023;14/10/2023;Soleil;4;France;Eté;Agence;1;1;0;0;2;0;0;7212;0;0;14;0;0;4;0;0;1043;2;7;Excursion|Boutique|Sports|Services|Bien-être
ID_10203432815485;France;0;0;06/11/2023;11/11/2023;Soleil;4;France;Eté;Web;2;;06/11/2023;11/11/2023;Soleil;4;France;Eté;Web;2;;0;0;1;0;0;1315;0;0;5;0;0;2;0;0;101;1;5;Sports
ID_10208032644885;France;0;0;23/07/2021;30/07/2021;Soleil;3;Turkey;Eté;Agence;1;;23/07/2021;30/07/2021;Soleil;3;Turkey;Eté;Agence;1;;1;0;0;1251;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_10208932799588;France;0;0;01/10/2022;08/10/2022;Montagne;4;France;Eté;Agence;1;2;01/10/2022;08/10/2022;Montagne;4;France;Eté;Agence;1;2;0;1;0;0;3262;0;0;7;0;0;3;0;0;0;0;1;7;
ID_10212332896871;France;0;0;08/04/2022;15/04/2022;Montagne;4;France;Hiver;Indirect;1;1;08/04/2022;15/04/2022;Montagne;4;France;Hiver;Indirect;1;1;0;1;0;0;3812;0;0;7;0;0;2;0;0;751;0;1;7;Boutique|Services|Sports
ID_10215132759289;France;0;0;01/10/2021;08/10/2021;Montagne;4;France;Eté;Indirect;;2;01/10/2021;08/10/2021;Montagne;4;France;Eté;Indirect;;2;1;0;0;1698;0;0;7;0;0;2;0;0;0;0;0;1;7;
ID_10232732716944;France;0;0;28/06/2021;05/07/2021;Soleil;3;Italy;Hiver;Agence;2;2;21/10/2022;27/10/2022;Soleil;3;France;Eté;Indirect;;1;1;1;0;2945;1032;0;7;6;0;4;1;0;299;0;0;2;7;Enfants|Excursion|Boutique
ID_10247832411429;France;0;0;14/01/2023;21/01/2023;Soleil;4;Morocco;Hiver;Agence;1;;17/11/2023;24/11/2023;Soleil;3;France;Eté;Agence;2;;0;0;2;0;0;3121;0;0;14;0;0;3;0;0;0;2;7;
ID_10253832922316;France;0;0;07/05/2022;14/05/2022;Soleil;4;Morocco;Hiver;Indirect;2;2;07/05/2022;14/05/2022;Soleil;4;Morocco;Hiver;Indirect;2;2;0;1;0;0;3645;0;0;7;0;0;4;0;0;212;0;1;;Excursion|Boutique|Sports|Enfants
ID_10254732576488;France;0;1;25/05/2023;02/06/2023;Soleil;4;Indonesia;Hiver;Agence;2;2;25/05/2023;02/06/2023;Soleil;4;Indonesia;Hiver;Agence;2;2;0;0;1;0;0;3333;0;0;8;0;0;4;0;0;604;1;8;Boutique|Sports|Services
ID_10256232246096;France;0;0;01/01/2021;08/01/2021;Soleil;4;Mauritius Islands;Hiver;Indirect;2;2;01/01/2021;08/01/2021;Soleil;4;Mauritius Islands;Hiver;Indirect;2;2;1;0;0;6389;0;0;7;0;0;4;0;0;197;0;0;1;7;Services|Boutique|Sports
ID_10258132648052;France;0;0;22/03/2023;31/03/2023;Soleil;3;Morocco;Hiver;Indirect;1;;22/03/2023;31/03/2023;Soleil;3;Morocco;Hiver;Indirect;1;;0;0;1;0;0;1159;0;0;9;0;0;1;0;0;247;1;9;Boutique
ID_10259432528142;France;0;0;11/09/2021;18/09/2021;Soleil;3;Italy;Eté;Agence;2;1;11/09/2021;18/09/2021;Soleil;3;Italy;Eté;Agence;2;1;1;0;0;3769;0;0;7;0;0;3;0;0;0;0;0;1;7;
ID_10259632291842;France;0;0;26/11/2021;17/12/2021;Soleil;3;Turkey;Eté;Agence;1;;16/01/2022;26/01/2022;Soleil;3;Morocco;Hiver;Agence;1;;1;1;0;2666;1163;0;21;10;0;1;1;0;80;271;0;2;16;Boutique|Bien-être|Services
ID_10260332332160;France;0;1;05/02/2023;15/02/2023;Soleil;4;Martinique;Hiver;Indirect;1;;05/02/2023;15/02/2023;Soleil;4;Martinique;Hiver;Indirect;1;;0;0;1;0;0;2159;0;0;10;0;0;1;0;0;278;1;10;Bien-être|Services
ID_10260632253521;France;0;0;06/12/2021;15/12/2021;Soleil;4;Dominican Republic;Eté;Agence;2;2;06/12/2021;15/12/2021;Soleil;4;Dominican Republic;Eté;Agence;2;2;1;0;0;4994;0;0;9;0;0;4;0;0;1390;0;0;1;9;Bien-être|Enfants|Boutique|Services|Sports
ID_10262032161051;France;0;0;15/05/2021;22/05/2021;Montagne;3;France;Hiver;Agence;2;;12/11/2022;19/11/2022;Soleil;4;France;Eté;Agence;2;;1;1;0;1785;2070;0;7;7;0;2;2;0;0;112;0;2;7;Sports|Excursion
ID_10279632791112;France;0;0;25/09/2022;01/10/2022;Soleil;3;Turkey;Eté;Agence;1;;25/09/2022;01/10/2022;Soleil;3;Turkey;Eté;Agence;1;;0;1;0;0;1436;0;0;7;0;0;1;0;0;0;0;1;7;
ID_10307132350807;France;0;0;08/10/2021;15/10/2021;Montagne;4;Italy;Eté;Indirect;1;2;08/10/2021;15/10/2021;Montagne;4;Italy;Eté;Indirect;1;2;1;0;0;2595;0;0;7;0;0;3;0;0;142;0;0;1;7;Bien-être|Boutique|Excursion
ID_10309932690691;France;0;0;05/04/2023;07/04/2023;Soleil;4;France;Hiver;Web;2;;21/10/2023;28/10/2023;Montagne;4;Italy;Eté;Agence;2;;0;0;2;0;0;2651;0;0;9;0;0;4;0;0;626;2;5;Excursion|Boutique|Bien-être|Services
ID_10315232741972;France;0;0;17/03/2022;26/03/2022;Soleil;4;Dominican Republic;Hiver;Indirect;2;1;17/03/2022;26/03/2022;Soleil;4;Dominican Republic;Hiver;Indirect;2;1;0;1;0;0;5022;0;0;9;0;0;3;0;0;1355;0;1;9;Bien-être|Excursion|Boutique|Services
ID_10323732586327;France;0;0;25/06/2022;02/07/2022;Soleil;4;Guadeloupe;Hiver;Indirect;2;;25/06/2022;02/07/2022;Soleil;4;Guadeloupe;Hiver;Indirect;2;;0;1;0;0;3982;0;0;7;0;0;2;0;0;84;0;1;7;Boutique|Services
ID_10324632716736;France;0;0;01/04/2021;08/04/2021;Montagne;4;France;Hiver;Agence;1;1;01/04/2021;08/04/2021;Montagne;4;France;Hiver;Agence;1;1;1;0;0;2292;0;0;7;0;0;2;0;0;214;0;0;1;7;Sports
ID_10341232658616;France;0;1;03/07/2021;10/07/2021;Soleil;3;Italy;Eté;Indirect;1;2;03/07/2021;10/07/2021;Soleil;3;Italy;Eté;Indirect;1;2;1;0;0;3763;0;0;7;0;0;3;0;0;29;0;0;1;7;Excursion|Bien-être|Services
ID_10353832640867;France;0;0;18/03/2022;22/03/2022;Montagne;4;France;Hiver;Web;1;;18/03/2022;22/03/2022;Montagne;4;France;Hiver;Web;1;;0;1;0;0;835;0;0;4;0;0;1;0;0;0;0;1;4;
ID_10372032320612;France;0;0;14/05/2022;15/05/2022;Montagne;4;France;Hiver;Agence;1;;07/10/2022;09/10/2022;Montagne;4;France;Eté;Agence;1;;0;2;0;0;468;0;0;3;0;0;2;0;0;0;0;1;2;
ID_10376432486241;France;0;0;16/09/2023;23/09/2023;Soleil;4;Turkey;Eté;Agence;1;;16/09/2023;23/09/2023;Soleil;4;Turkey;Eté;Agence;1;;0;0;1;0;0;1852;0;0;7;0;0;1;0;0;107;1;7;Boutique|Bien-être
ID_10382032963495;France;0;0;09/11/2021;16/11/2021;Soleil;4;Morocco;Eté;Indirect;1;;09/11/2021;16/11/2021;Soleil;4;Morocco;Eté;Indirect;1;;1;0;0;1034;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_10385532238037;France;0;0;11/10/2022;16/10/2022;Montagne;4;France;Eté;Agence;1;;11/10/2022;16/10/2022;Montagne;4;France;Eté;Agence;1;;0;1;0;0;768;0;0;5;0;0;1;0;0;0;0;1;5;
ID_10387832776800;France;0;1;14/05/2022;21/05/2022;Soleil;4;Martinique;Hiver;Agence;2;;14/05/2022;21/05/2022;Soleil;4;Martinique;Hiver;Agence;2;;0;1;0;0;4827;0;0;7;0;0;2;0;0;78;0;1;7;Boutique|Restauration
ID_10398732726861;France;0;0;29/05/2021;05/06/2021;Montagne;4;Switzerland;Hiver;Agence;1;;29/05/2021;05/06/2021;Montagne;4;Switzerland;Hiver;Agence;1;;1;0;0;1290;0;0;7;0;0;1;0;0;100;0;0;1;7;Excursion
ID_10400932994754;France;0;0;10/06/2022;17/06/2022;Soleil;3;Tunisia;Hiver;Web;2;1;10/06/2022;17/06/2022;Soleil;3;Tunisia;Hiver;Web;2;1;0;1;0;0;3181;0;0;7;0;0;3;0;0;411;0;1;7;Enfants|Excursion|Boutique
ID_10404632207723;France;0;0;07/07/2022;11/07/2022;Soleil;5;Croisieres;Eté;Agence;2;;07/07/2022;11/07/2022;Soleil;5;Croisieres;Eté;Agence;2;;0;1;0;0;1892;0;0;4;0;0;2;0;0;0;0;1;4;
ID_10405232629366;France;0;0;02/07/2022;07/07/2022;Soleil;4;France;Eté;Web;2;1;02/07/2022;07/07/2022;Soleil;4;France;Eté;Web;2;1;0;1;0;0;3446;0;0;5;0;0;3;0;0;0;0;1;5;
ID_10412332933202;France;0;0;13/06/2022;20/06/2022;Soleil;4;Martinique;Hiver;Agence;2;1;13/06/2022;20/06/2022;Soleil;4;Martinique;Hiver;Agence;2;1;0;1;0;0;5484;0;0;7;0;0;3;0;0;277;0;1;7;Boutique|Services
ID_10423232557264;France;0;0;13/10/2023;27/10/2023;Soleil;4;Greece;Eté;Agence;1;;13/10/2023;27/10/2023;Soleil;4;Greece;Eté;Agence;1;;0;0;1;0;0;4245;0;0;14;0;0;1;0;0;0;1;14;
ID_10434532564806;France;0;0;15/09/2023;25/09/2023;Soleil;3;France;Eté;Agence;2;2;15/09/2023;25/09/2023;Soleil;3;France;Eté;Agence;2;2;0;0;1;0;0;9010;0;0;10;0;0;4;0;0;315;1;10;Boutique|Services
ID_10435732495944;France;0;0;02/08/2023;06/08/2023;Soleil;3;France;Eté;Agence;2;1;02/08/2023;06/08/2023;Soleil;3;France;Eté;Agence;2;1;0;0;1;0;0;1322;0;0;4;0;0;3;0;0;2;1;;Boutique
ID_10437632490463;France;0;0;21/02/2021;28/02/2021;Montagne;4;France;Hiver;Indirect;1;;21/02/2021;28/02/2021;Montagne;4;France;Hiver;Indirect;1;;1;0;0;3057;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_10442832655986;France;0;1;25/08/2023;02/09/2023;Soleil;4;Morocco;Eté;Agence;1;;25/08/2023;02/09/2023;Soleil;4;Morocco;Eté;Agence;1;;0;0;1;0;0;947;0;0;7;0;0;1;0;0;0;1;7;
ID_10446932624564;France;0;0;04/03/2022;11/03/2022;Montagne;4;France;Hiver;Indirect;1;1;04/03/2022;11/03/2022;Montagne;4;France;Hiver;Indirect;1;1;0;1;0;0;3270;0;0;7;0;0;2;0;0;0;0;1;7;
ID_10446932920957;France;0;0;09/10/2021;16/10/2021;Soleil;4;Morocco;Eté;Agence;2;1;16/03/2022;23/03/2022;Soleil;4;Mexico;Hiver;Agence;1;;1;1;0;2152;1728;0;7;7;0;1;1;0;323;241;0;2;7;Restauration|Boutique|Services
ID_10447632422779;France;0;0;08/05/2022;19/05/2022;Soleil;4;Dominican Republic;Hiver;Web;2;1;08/05/2022;19/05/2022;Soleil;4;Dominican Republic;Hiver;Web;2;1;0;1;0;0;5576;0;0;11;0;0;3;0;0;1041;0;1;11;Boutique|Services|Excursion|Bien-être
ID_10447732627505;France;0;0;31/03/2023;07/04/2023;Montagne;3;France;Hiver;Indirect;1;;31/03/2023;07/04/2023;Montagne;3;France;Hiver;Indirect;1;;0;0;1;0;0;1558;0;0;7;0;0;1;0;0;0;1;7;
ID_10450732632585;France;0;0;30/10/2022;09/11/2022;Soleil;4;France;Eté;Agence;2;;30/10/2022;09/11/2022;Soleil;4;France;Eté;Agence;2;;0;1;0;0;2924;0;0;10;0;0;2;0;0;0;0;1;10;
ID_10450832669419;France;0;0;22/05/2021;26/05/2021;Montagne;3;France;Hiver;Web;2;;13/05/2022;17/05/2022;Montagne;3;France;Hiver;Web;2;;1;1;0;1275;1452;0;4;4;0;2;2;0;0;;0;2;4;
ID_10460732250952;France;0;0;03/06/2023;10/06/2023;Soleil;4;Guadeloupe;Hiver;Agence;2;2;03/06/2023;10/06/2023;Soleil;4;Guadeloupe;Hiver;Agence;2;2;0;0;1;0;0;6722;0;0;7;0;0;4;0;0;0;1;7;
ID_10461232576060;France;0;0;23/03/2021;25/03/2021;Montagne;3;France;Hiver;Agence;2;;23/03/2021;25/03/2021;Montagne;3;France;Hiver;Agence;2;;1;0;0;894;0;0;2;0;0;2;0;0;8;0;0;1;2;Sports
ID_10462332279408;France;0;0;29/05/2022;31/05/2022;Montagne;4;France;Hiver;Web;1;;29/05/2022;31/05/2022;Montagne;4;France;Hiver;Web;1;;0;1;0;0;570;0;0;2;0;0;1;0;0;0;0;1;2;
ID_10468332605141;France;0;0;22/05/2022;29/05/2022;Montagne;3;France;Hiver;Agence;1;;22/05/2022;29/05/2022;Montagne;3;France;Hiver;Agence;1;;0;1;0;0;1218;0;0;7;0;0;1;0;0;0;0;1;7;
ID_10484432579238;France;0;0;27/10/2021;03/11/2021;Soleil;3;Italy;Eté;Web;2;;27/10/2021;03/11/2021;Soleil;3;Italy;Eté;Web;2;;1;0;0;2045;0;0;7;0;0;2;0;0;164;0;0;1;7;Boutique|Excursion
ID_10486732102583;France;0;0;19/10/2021;26/10/2021;Soleil;4;Bahamas;Eté;Indirect;2;2;19/10/2021;26/10/2021;Soleil;4;Bahamas;Eté;Indirect;2;2;1;0;0;6624;0;0;7;0;0;4;0;0;330;0;0;1;7;Boutique|Restauration|Services
ID_10498332280326;France;0;0;07/05/2021;17/05/2021;Soleil;4;Guadeloupe;Hiver;Indirect;1;;07/05/2021;17/05/2021;Soleil;4;Guadeloupe;Hiver;Indirect;1;;1;0;0;2375;0;0;10;0;0;1;0;0;570;0;0;1;10;Bien-être|Services|Boutique
ID_10505832219851;France;0;0;29/05/2022;03/06/2022;Soleil;4;Morocco;Hiver;Agence;3;;29/05/2022;03/06/2022;Soleil;4;Morocco;Hiver;Agence;3;;0;1;0;0;2349;0;0;5;0;0;3;0;0;75;0;1;5;Boutique|Excursion
ID_10506432668737;France;0;0;14/12/2023;21/12/2023;Soleil;3;France;Eté;Web;1;;14/12/2023;21/12/2023;Soleil;3;France;Eté;Web;1;;0;0;1;0;0;1070;0;0;7;0;0;1;0;0;0;1;7;
ID_10506832325128;France;0;0;04/09/2022;11/09/2022;Soleil;3;Italy;Eté;Agence;1;2;04/09/2022;11/09/2022;Soleil;3;Italy;Eté;Agence;1;2;0;1;0;0;2807;0;0;7;0;0;3;0;0;48;0;1;7;Bien-être|Excursion|Boutique
ID_10509432187992;France;0;0;22/05/2021;29/05/2021;Montagne;4;France;Hiver;Agence;1;;22/05/2021;29/05/2021;Montagne;4;France;Hiver;Agence;1;;1;0;0;1567;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_10510232766066;France;0;1;07/01/2023;14/01/2023;Soleil;4;Morocco;Hiver;Agence;2;3;07/01/2023;14/01/2023;Soleil;4;Morocco;Hiver;Agence;2;3;0;0;1;0;0;2567;0;0;7;0;0;5;0;0;225;1;7;Bien-être|Sports|Boutique|Services
ID_10511632147051;France;0;0;25/06/2022;02/07/2022;Soleil;4;Turkey;Hiver;Agence;1;;25/06/2022;02/07/2022;Soleil;4;Turkey;Hiver;Agence;1;;0;1;0;0;1567;0;0;7;0;0;1;0;0;0;0;1;7;
